"Country_survey_year","Coefficients"
"Austria 2008",2.71304983367954
"Spain 2011",1.96600633934198
"United States 1995",1.88041729445024
"Spain 2007",1.82335647333202
"Netherlands 1999",1.77652307822102
"Norway 1996",1.71188296822447
"Sweden 2009",1.50253484591462
"Spain 2000",1.42362668431815
"United States 2011",1.40086316264332
"Netherlands 2012",1.3230151095948
"Canada 2006",1.20243945301444
"Denmark 2008",1.19415451141121
"France 1999",1.09796894713098
"France 2008",1.06900241402417
"Sweden 2011",1.03854844404926
"United States 2006",0.975737586659502
"Australia 2012",0.97177297151134
"Great Britain 2009",0.958142337986049
"Norway 2007",0.924631309306832
"Italy 2005",0.918570223505982
"Norway 2008",0.908216915849518
"Turkey 2009",0.856266872436972
"Sweden 1996",0.78554684472716
"Turkey 2012",0.670843330808572
"Italy 1999",0.574989218172628
"Greece 2008",0.550863328779321
"Switzerland 1996",0.510457899898389
"Australia 2005",0.502926128003793
"Sweden 2006",0.464407616643392
"Australia 1995",0.451955919959554
"Iceland 2009",0.414228277173101
"Finland 2000",0.37254587242136
"Spain 2008",0.371503299227855
"Estonia 1999",0.350829732754365
"Switzerland 2007",0.297277223687902
"United States 1999",0.295616978645494
"Italy 2009",0.276544336157925
"Great Britain 1999",0.249133008325534
"Finland 2005",0.220892646055646
"Finland 2009",0.180273941884024
"Mexico 1996",0.148592536665126
"Iceland 1999",0.135921795755434
"Spain 1995",0.126422593512802
"Chile 2000",0.122222040221015
"Austria 1999",0.102544204740007
"Switzerland 2008",0.0951378893801032
"Netherlands 2008",0.0880935412886845
"Belgium 2009",0.0685167264635547
"Turkey 1996",0.0463299868993433
"New Zealand 2004",0.0461763424608668
"Chile 2006",0.0425055062672717
"Slovenia 2005",0.0370259871977971
"Luxembourg 2008",0.0336664727457581
"South Korea 1990",-0.00842124010091714
"Turkey 2001",-0.0161275625563366
"Chile 2012",-0.0302072840229156
"Latvia 1996",-0.0384297400089195
"South Korea 2010",-0.0864301379323328
"Mexico 2000",-0.0886925160455791
"South Korea 2001",-0.0919291876134675
"Germany 2006",-0.0921592424484354
"New Zealand 2011",-0.104137052969333
"Mexico 2005",-0.117260715031678
"Lithuania 1999",-0.129664708354486
"Canada 2000",-0.163936244042092
"Estonia 1996",-0.174320615094819
"Mexico 2012",-0.250404221462665
"Turkey 2007",-0.259304524240518
"Germany 2013",-0.348177718289664
"Lithuania 1997",-0.467664858398347
"Latvia 2008",-0.509330764207974
"South Korea 2005",-0.594948799819761
"Germany 2008",-0.598854180324571
"Estonia 2008",-0.605933519689846
"Czech Republic 2008",-0.646282026788001
"Ireland 1999",-0.648125472357751
"Chile 1996",-0.656489305982378
"Ireland 2008",-0.666221807320605
"Northern Ireland 2008",-0.753339820036699
"Slovenia 2011",-0.78525788843745
"Japan 2010",-0.787842378171672
"Germany 1997",-0.808990445307475
"New Zealand 1998",-0.831662963252518
"Slovenia 1995",-0.879070697728236
"Slovenia 2008",-0.885999761577765
"Turkey 1990",-0.935898590219024
"Estonia 2011",-1.11558387081974
"Hungary 2008",-1.24822902241486
"Northern Ireland 1999",-1.29825985174145
"Poland 2012",-1.33722166226283
"Slovakia 2008",-1.39822713928964
"Poland 1999",-1.41747746738661
"Lithuania 2008",-1.43956883719132
"Slovakia 1998",-1.44611011949923
"Portugal 2008",-1.47652931406129
"Finland 1996",-1.51728769545956
"Poland 1997",-1.52723692060398
"Hungary 2009",-1.54029917432191
"Hungary 1998",-1.54451096532617
"Poland 2008",-1.58046602237698
"Czech Republic 1998",-1.58955697493503
"Czech Republic 1999",-1.65166538219846
"Poland 2005",-2.31869486045883
