"Country_wave","Coefficients"
"South Korea 2001",0.00503922609181728
"Japan 2010",0.00306562365354841
"Denmark 1999",0.00301922390426901
"Norway 1996",0.00299929687006314
"France 2006",0.00268182220986792
"South Korea 2005",0.00258648294529057
"Austria 1999",0.00257549091132141
"Latvia 1999",0.00253017988127095
"Germany 1997",0.00251929716622885
"Luxembourg 1999",0.00240009946175314
"Poland 1999",0.00239947385224716
"Belgium 1999",0.00230488876856314
"Denmark 2008",0.0022873458195145
"Switzerland 2008",0.00227061387262102
"Hungary 1998",0.00219192860184381
"Switzerland 1996",0.00219102705388346
"South Korea 2010",0.00218612178950245
"United States 2011",0.00208158568049684
"Greece 2008",0.00207421701727394
"Germany 1999",0.00205370735605863
"Luxembourg 2008",0.00201686293340982
"Belgium 2009",0.00199993730411497
"Ireland 1999",0.00192139726177098
"Greece 1999",0.00192075199745641
"France 2008",0.00189300758660595
"Iceland 1999",0.00185265148008451
"Slovenia 1995",0.00183300388054403
"Spain 2011",0.00183289295609081
"Spain 1999",0.00180748464355007
"Italy 2005",0.00176747326178484
"United States 1995",0.00167597003021799
"Turkey 1996",0.00167255139171017
"Chile 2012",0.00159909575178879
"Iceland 2009",0.001549462783165
"Norway 2008",0.00152033412271919
"Spain 2000",0.00150838617171319
"Mexico 2012",0.00149203538974933
"Norway 2007",0.00148970879926619
"Germany 2008",0.00148935583332445
"Slovenia 1999",0.00148111588478268
"Poland 1997",0.00147442699361221
"Poland 2005",0.00145755361143778
"Poland 2012",0.0014428371067978
"Estonia 2011",0.00144098630954918
"Slovenia 2005",0.00143960624032502
"Netherlands 1999",0.00142654055400771
"Finland 2005",0.00141337780223059
"Estonia 2008",0.00139805916371997
"Germany 2006",0.00137126243815849
"Spain 2008",0.00137096313131416
"France 1999",0.00134290262607534
"Poland 2008",0.00132520052637018
"Canada 2000",0.00131410229198708
"Finland 1996",0.00130791455764265
"Austria 2008",0.00129878923018645
"Germany 2013",0.00128251570547115
"Spain 1995",0.00127169828296829
"Great Britain 2009",0.00121496251264998
"Chile 2006",0.0012107219528008
"Mexico 2005",0.00120670652293861
"United States 1999",0.00116104017918642
"Canada 2006",0.00113562676514168
"United States 2006",0.00111466709287393
"Sweden 2006",0.00107905532458604
"Sweden 1999",0.00103330101885162
"Great Britain 2005",0.00102761106699416
"Ireland 2008",0.00102494871712162
"Spain 2007",0.00100636466667473
"Latvia 2008",0.000978277609824501
"Italy 1999",0.000966471257139091
"Estonia 1999",0.000965721009318268
"Estonia 1996",0.000923293929604999
"Slovakia 2008",0.000909840719288809
"Lithuania 1997",0.00090521729996618
"Mexico 2000",0.000879302829306399
"Latvia 1996",0.000850559772597703
"Switzerland 2007",0.00084361301303655
"Lithuania 2008",0.000837837608032856
"Turkey 2009",0.000814657675288991
"Sweden 1996",0.00080731530646178
"Turkey 1990",0.000793853759572924
"Czech Republic 1999",0.000709306029075605
"Chile 1996",0.000700328379353553
"Hungary 2008",0.000610322542281511
"Hungary 2009",0.000572681327290089
"Czech Republic 2008",0.000464803210984803
"Finland 2000",0.000448624326524918
"Slovenia 2011",0.000442744893278668
"Czech Republic 1998",0.000418119242507681
"Slovakia 1999",0.00035403155201816
"Chile 2000",0.000352202693862815
"Portugal 1999",0.000327204397181274
"Slovenia 2008",0.000303690680827168
"Turkey 2007",0.00022289934569692
"Slovakia 1998",0.000212486944389818
"Lithuania 1999",0.000123187318271552
"Turkey 2001",1.35464225905829e-06
"Portugal 2008",-7.51827295445725e-06
"Italy 2009",-4.69365224267383e-05
"Great Britain 1999",-6.98014036025902e-05
"Australia 1995",-8.11943299788057e-05
"Netherlands 2008",-0.000193304888863293
"Finland 2009",-0.000415735211624741
"Northern Ireland 1999",-0.000557157751702052
"Mexico 1996",-0.000624179675342805
"Turkey 2012",-0.000746514503754897
"South Korea 1990",-0.000782482280716161
"Northern Ireland 2008",-0.00080491983693491
"Australia 2012",-0.000813118419683341
"Sweden 2011",-0.000848229331907443
"New Zealand 2011",-0.000907895670891804
"New Zealand 1998",-0.000928603156107515
"New Zealand 2004",-0.00107333856424668
"Netherlands 2006",-0.00108157883944444
"Australia 2005",-0.00117622779305265
"Sweden 2009",-0.0013689008355231
"Netherlands 2012",-0.00212321796280442
